character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,mapping_status,source
가,U+AC00,0xa040,0xe079,2157,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
간,U+AC04,0xa041,0x956d,2156,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
갑,U+AC11,0xa042,0x90f7,2155,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
강,U+AC15,0xa043,0x8d8b,2150,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
개,U+AC1C,0xa044,0xe079,2148,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
거,U+AC70,0xa045,0x956d,2147,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
건,U+AC74,0xa046,0x90f7,2146,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
게,U+AC8C,0xa047,0x8c67,2126,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
겨,U+ACA8,0xa048,0x9385,2119,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
격,U+ACA9,0xa049,0x9385,2115,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
결,U+ACB0,0xa04a,0x8c67,2110,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
경,U+ACBD,0xa04b,0x8c67,2103,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
계,U+ACC4,0xa04c,0x8a9a,2102,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
고,U+ACE0,0xa04d,0x8a9a,2100,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
곡,U+ACE1,0xa04e,0xe666,2091,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
곳,U+ACF3,0xa04f,0xe666,2088,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
공,U+ACF5,0xa050,0x90b1,2086,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
과,U+ACFC,0xa051,0x8d7c,2074,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
관,U+AD00,0xa052,0x8d7c,2070,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
광,U+AD11,0xa053,0x97a6,2061,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
교,U+AD50,0xa054,0x90b1,2060,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
구,U+AD6C,0xa055,0xe0a6,2059,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
군,U+AD70,0xa056,0x8eea,2058,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
권,U+AD8C,0xa057,0xe0a6,1840,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
귀,U+ADC0,0xa058,0x8eea,1732,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
그,U+ADF8,0xa059,0x8d8b,1657,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
금,U+AE08,0xa05a,0x97a6,1577,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
기,U+AE30,0xa05b,0x0021,34,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
까,U+AE4C,0xa05c,0x0021,33,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
께,U+AED8,0xa05d,0x8e4a,2222,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
꼴,U+AF34,0xa05e,0x8dcd,2221,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
끄,U+B044,0xa05f,0x8290,2220,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
끝,U+B05D,0xa060,0x828c,2219,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
끼,U+B07C,0xa061,0x8285,2218,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
나,U+B098,0xa062,0x9d7c,2216,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
날,U+B0A0,0xa063,0x9851,2215,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
납,U+B0A9,0xa064,0x9846,2214,85,PROVISIONAL_RESEARCH,font-overlay-field-ui-candidate/manifest.json
